success,rt,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response,slider_start,itemID,condition,tag,accuracy,participant_id,ctime
TRUE,1113,fullscreen,0,2120,0.0-0.0-0.0,NA,NA,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1204,html-button-response,1,3330,0.0-0.0-1.0,"<p style='text-align:left'>In this experiment, you will read short conversations between two people. The first person always makes a statement, and the second responds to the first. We ask you to rate how natural the response to the statement is, on a slider from 'totally unnatural' to 'totally natural'.</p>          <p style='text-align:left'>In rating the responses, you should consider whether you might use these sentences or whether you think others might use them. There are no right or wrong answers here beyond your own intuition. You should answer each question as quickly as you can, but without rushing. Don't worry, this will be easy, and you will get a chance to practice this.</p>          <p style='text-align:left'> At the end of the experiment, we ask you some demographic questions (age, gender, native language).</p>          <h4>Consent to participate:</h4>          <p style='text-align:left' font size=""1""> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. Participation in this study should not consume more than 5 minutes of your time, and there are no risks or discomforts expected to result from participation. You are free to withdraw from this experiment at any time without penalty. Your data will be collected and treated anonymously and confidentially. It may be used for any subsequent data analysis and / or publication of results based on this experiment, and stored in electronic format indefinitely. If you have any questions, you may contact the requester through Prolific's platform, or directly at ac140440@uni-stuttgart.de.</p>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1274,html-button-response,2,4604,0.0-0.0-2.0-0.0,"<p style='text-align:left'>Okay, so let's start with our practice round. You will see a picture showing a situation where there is an imagined conversation between two people, and a sentence that describes the context of the conversation.</p>            <p style='text-align:left'> You should read the sentence and then press continue. Let's try it out.</p>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1516,html-button-response,3,6121,0.0-0.0-2.0-1.0,<div id='wrapper'><img id='scene' src='images/scenes.001.jpeg'><p id='context'>Two neighbors are discussing the healthcare costs in their local community.</p>,0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,959,html-button-response,4,7081,0.0-0.0-2.0-2.0,"<p style='text-align:left'>Then, you will see the first part of the conversation. It will show up as a statement in the first speech bubble.</p>            <p style='text-align:left'> As before, just read this statement, and press continue.</p>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1748,html-button-response,5,8830,0.0-0.0-2.0-3.0,<div id='wrapper'><img id='scene' src='images/scenes.001.jpeg'><p id='context'>Two neighbors are discussing the healthcare costs in their local community.</p><div id='initiative' class='utterance'><p>The dentists in this town didn't charge the private patients a lot of money last year.</p></div>,0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1192,html-button-response,6,10024,0.0-0.0-2.0-4.0,"<p style='text-align:left'>Finally, you will read the response. Now, you will be asked to give a rating of how natural the response sounds as a reaction to the first statement.</p>            <p style='text-align:left'> Read the response, adjust the slider to reflect how natural the sentence sounds to you, and then press continue.</p>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1681,html-slider-response,7,11707,0.0-0.0-2.0-5.0,"<div id='wrapper'><img id='scene' src='images/scenes.001.jpeg'><p id='context'>Two neighbors are discussing the healthcare costs in their local community.</p><div id='initiative' class='utterance'><p>The dentists in this town didn't charge the private patients a lot of money last year.</p></div><div id='response' class='utterance'><p>Yeah, not even the most greedy ones.</p></div>",66,50,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1122,html-button-response,8,12830,0.0-0.0-2.0-6.0,"<p style='text-align:left'>Great, this is what you will be doing in the study. Let's begin.</p>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1192,html-button-response,9,14025,0.0-1.0-0.0,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.010.jpeg>
              <p id=""context"">Two event organizers are talking about a recent fundraiser.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1208,html-button-response,10,15234,0.0-1.0-1.0,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.010.jpeg>
              <p id=""context"">Two event organizers are talking about a recent fundraiser.</p>
              <div id=""initiative"" class=""utterance""><p>I don't believe that the guests at our yearly banquet received champagne as an aperitif.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
